"GEO_ID","NAME","PBG73_001N","PBG73_002N","PBG73_003N","PBG73_004N","PBG73_005N","PBG73_006N","PBG73_007N","PBG73_008N","PBG73_009N","PBG73_010N","PBG73_011N","PBG73_012N","PBG73_013N","PBG73_014N","PBG73_015N","PBG73_016N","PBG73_017N","PBG73_018N","PBG73_019N","PBG73_020N","PBG73_021N","PBG73_022N","PBG73_023N","PBG73_024N","PBG73_025N","PBG73_026N","PBG73_027N","PBG73_028N","PBG73_029N","PBG73_030N","PBG73_031N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Income in 2019 below poverty level:"," !!Total:!!Income in 2019 below poverty level:!!Male:"," !!Total:!!Income in 2019 below poverty level:!!Male:!!Under 5 years"," !!Total:!!Income in 2019 below poverty level:!!Male:!!5 years"," !!Total:!!Income in 2019 below poverty level:!!Male:!!6 to 11 years"," !!Total:!!Income in 2019 below poverty level:!!Male:!!12 to 17 years"," !!Total:!!Income in 2019 below poverty level:!!Male:!!18 to 64 years"," !!Total:!!Income in 2019 below poverty level:!!Male:!!65 years and over"," !!Total:!!Income in 2019 below poverty level:!!Female:"," !!Total:!!Income in 2019 below poverty level:!!Female:!!Under 5 years"," !!Total:!!Income in 2019 below poverty level:!!Female:!!5 years"," !!Total:!!Income in 2019 below poverty level:!!Female:!!6 to 11 years"," !!Total:!!Income in 2019 below poverty level:!!Female:!!12 to 17 years"," !!Total:!!Income in 2019 below poverty level:!!Female:!!18 to 64 years"," !!Total:!!Income in 2019 below poverty level:!!Female:!!65 years and over"," !!Total:!!Income in 2019 at or above poverty level:"," !!Total:!!Income in 2019 at or above poverty level:!!Male:"," !!Total:!!Income in 2019 at or above poverty level:!!Male:!!Under 5 years"," !!Total:!!Income in 2019 at or above poverty level:!!Male:!!5 years"," !!Total:!!Income in 2019 at or above poverty level:!!Male:!!6 to 11 years"," !!Total:!!Income in 2019 at or above poverty level:!!Male:!!12 to 17 years"," !!Total:!!Income in 2019 at or above poverty level:!!Male:!!18 to 64 years"," !!Total:!!Income in 2019 at or above poverty level:!!Male:!!65 years and over"," !!Total:!!Income in 2019 at or above poverty level:!!Female:"," !!Total:!!Income in 2019 at or above poverty level:!!Female:!!Under 5 years"," !!Total:!!Income in 2019 at or above poverty level:!!Female:!!5 years"," !!Total:!!Income in 2019 at or above poverty level:!!Female:!!6 to 11 years"," !!Total:!!Income in 2019 at or above poverty level:!!Female:!!12 to 17 years"," !!Total:!!Income in 2019 at or above poverty level:!!Female:!!18 to 64 years"," !!Total:!!Income in 2019 at or above poverty level:!!Female:!!65 years and over",
"1400000US66010954700","Census Tract 9547, Guam, Guam","2061","441","203","31","4","24","24","101","19","238","21","5","35","38","122","17","1620","833","56","6","72","68","513","118","787","46","10","56","73","455","147",
"1400000US66010954800","Census Tract 9548, Guam, Guam","2416","863","400","69","16","75","59","159","22","463","68","17","88","66","199","25","1553","776","55","11","74","66","465","105","777","42","8","60","58","476","133",
"1400000US66010955100","Census Tract 9551, Guam, Guam","3518","592","294","32","5","54","42","151","10","298","21","10","44","47","158","18","2926","1513","109","16","146","140","951","151","1413","85","21","140","130","870","167",
"1400000US66010955200","Census Tract 9552, Guam, Guam","2295","506","235","30","6","30","46","112","11","271","33","9","33","24","151","21","1789","938","69","17","75","97","586","94","851","56","13","81","84","526","91",
"1400000US66010955300","Census Tract 9553, Guam, Guam","1600","433","217","42","9","39","35","79","13","216","22","6","30","25","118","15","1167","587","29","7","40","61","371","79","580","27","6","49","52","373","73",
"1400000US66010955400","Census Tract 9554, Guam, Guam","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",
"1400000US66010955600","Census Tract 9556, Guam, Guam","1001","147","67","7","5","10","13","32","0","80","10","2","12","8","40","8","854","444","21","6","48","39","285","45","410","24","8","23","48","249","58",
"1400000US66010955700","Census Tract 9557, Guam, Guam","4901","889","399","40","13","59","57","203","27","490","48","10","70","56","271","35","4012","2076","98","22","118","202","1357","279","1936","80","20","129","137","1259","311",
"1400000US66010955800","Census Tract 9558, Guam, Guam","7738","1211","589","67","20","97","89","262","54","622","75","11","78","85","313","60","6527","3324","201","44","267","347","2142","323","3203","177","43","255","284","2083","361",
"1400000US66010955900","Census Tract 9559, Guam, Guam","3150","446","212","18","4","20","24","112","34","234","16","1","19","17","148","33","2704","1406","45","16","70","87","979","209","1298","50","9","82","74","894","189",
"1400000US66010956000","Census Tract 9560, Guam, Guam","2524","724","326","65","9","69","58","117","8","398","64","12","90","45","164","23","1800","895","72","17","85","72","556","93","905","81","18","55","71","586","94",
"1400000US66010956100","Census Tract 9561, Guam, Guam","1981","332","163","32","12","31","14","65","9","169","16","6","23","24","89","11","1649","838","52","12","59","78","524","113","811","38","9","56","80","487","141",
"1400000US66010956200","Census Tract 9562, Guam, Guam","3488","413","224","20","4","43","33","106","18","189","13","4","22","20","114","16","3075","1522","82","18","160","167","873","222","1553","112","19","140","129","897","256",
"1400000US66010956300","Census Tract 9563, Guam, Guam","2346","503","222","26","2","45","28","108","13","281","48","6","41","23","150","13","1843","928","54","16","89","80","590","99","915","67","10","104","88","554","92",
"1400000US66010980100","Census Tract 9801, Guam, Guam","42","9","3","1","0","0","0","2","0","6","0","0","3","1","2","0","33","15","0","0","1","0","12","2","18","0","1","2","1","11","3",
"1400000US66010980200","Census Tract 9802, Guam, Guam","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US66010980300","Census Tract 9803, Guam, Guam","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US66010980400","Census Tract 9804, Guam, Guam","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US66010990000","Census Tract 9900, Guam, Guam","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
