"","GEOID","r_stat"
"246","01117030211","Neither"
"247","01117030900","Neither"
"248","01117030408","Neither"
"249","01117030345","Neither"
"250","01117030212","Neither"
"251","01117030216","Neither"
"252","01051031300","Neither"
"253","01051031200","Neither"
"254","01051031100","Neither"
"255","01081041102","Neither"
"256","01081041002","Neither"
"257","01081040501","Neither"
"258","01081040607","Neither"
"259","01081041702","Neither"
"260","01081041701","Neither"
"261","01081041001","Neither"
"262","01081040502","Neither"
"263","01081041104","Neither"
"264","01081042104","Neither"
"265","01081041902","Neither"
"266","01081040605","Neither"
"267","01081041903","Neither"
"268","01081041901","Neither"
"269","01081041703","Neither"
"270","01081041103","Neither"
"271","01001020801","Neither"
"272","01081042005","Neither"
"273","01081042002","Neither"
"274","01081042101","Neither"
"275","01089011100","Neither"
"276","01101005607","Neither"
"277","01089010704","Neither"
"278","01089010503","Neither"
"279","01089010102","Neither"
"280","01089010631","Neither"
"281","01089010904","Neither"
"282","01089002804","Neither"
"283","01089002924","Neither"
"284","01089010101","Neither"
"285","01089010405","Neither"
"286","01089010802","Neither"
"287","01089010905","Neither"
"288","01089000203","Neither"
"289","01089010903","Neither"
"290","01089010628","Neither"
"291","01089010703","Neither"
"292","01089011302","Neither"
"293","01089010706","Neither"
"294","01089002803","Neither"
"295","01089011202","Neither"
"296","01089011203","Neither"
"297","01089010504","Neither"
"298","01069041500","Neither"
"299","01069042100","Neither"
"300","01095030302","Neither"
"301","01089002722","Neither"
"302","01097006501","Neither"
"303","01097006702","Neither"
"304","01097006407","Neither"
"305","01097007201","Neither"
"306","01097006402","Neither"
"307","01097007102","Neither"
"308","01081041300","Neither"
"309","01097005300","Neither"
"310","01097006103","Neither"
"311","01097006802","Neither"
"312","01097007000","Neither"
"313","01097005400","Neither"
"314","01081041200","Neither"
"315","01097003402","Neither"
"316","01117030331","Neither"
"317","01117030315","Neither"
"318","01117030607","Neither"
"319","01117030316","Neither"
"320","01117030305","Neither"
"321","01073014001","Neither"
"322","01073014410","Neither"
"323","01069040302","Neither"
"324","01051030902","Neither"
"325","01117980000","Neither"
"326","01061050600","Neither"
"327","01073014301","Neither"
"328","01073012103","Neither"
"329","01073014104","Neither"
"330","01073010500","Neither"
"331","01073011706","Neither"
"332","01073012701","Neither"
"333","01073012602","Neither"
"334","01073012104","Neither"
"335","01073012403","Neither"
"336","01073012302","Neither"
"337","01073011901","Neither"
"338","01073011205","Neither"
"339","01073011210","Neither"
"340","01073011600","Neither"
"341","01073013901","Neither"
"342","01073014105","Neither"
"343","01073001100","Neither"
"344","01073002000","Neither"
"345","01073003500","Neither"
"346","01045021300","Neither"
"347","01073005302","Neither"
"348","01073005903","Neither"
"349","01089002801","Neither"
"350","01069040802","Neither"
"351","01069040205","Neither"
"352","01069040203","Neither"
"353","01069040801","Neither"
"354","01069041901","Neither"
"355","01069040206","Neither"
"356","02170000604","Neither"
"357","02170000601","Neither"
"358","02063000300","Neither"
"359","02122000300","Neither"
"360","02122000200","Neither"
"361","02170000502","Neither"
"362","02170000200","Neither"
"363","02170001300","Neither"
"364","04015952400","Neither"
"365","04027000301","Neither"
"366","04027000908","Neither"
"367","04027011000","Neither"
"368","04027010913","Neither"
"369","04027011112","Neither"
"370","04027011107","Neither"
"371","04027010914","Neither"
"372","04027980004","Neither"
"373","04027000402","Neither"
"374","04027001200","Neither"
"375","04021000310","Neither"
"376","04005000400","Neither"
"377","04005000200","Neither"
"378","04021001406","Neither"
"379","04021000208","Neither"
"380","04019004044","Neither"
"381","04019004050","Neither"
"382","04019004310","Neither"
"383","04019004630","Neither"
"384","04019004632","Neither"
"385","04019004404","Neither"
"386","04019004413","Neither"
"387","04019004322","Neither"
"388","04019004634","Neither"
"389","04019004636","Neither"
"390","04019003903","Neither"
"391","04021000315","Neither"
"392","04019004643","Neither"
"393","04019004116","Neither"
"394","04019004320","Neither"
"395","04019004428","Neither"
"396","04019004418","Neither"
"397","04019004635","Neither"
"398","04019004051","Neither"
"399","04019004419","Neither"
"400","04021000206","Neither"
"401","04021001407","Neither"
"402","04013082204","Neither"
