"","Designation","Data Vintage","Tract Vintage","Number of Tracts","Share of US Population","Poverty Rate","Average Median Family Income","Percent Non-White","Percent without HS diploma","Percent with Bachelors +","Percent Prime Age Adults Not Working","Vacancy Rate"
"1","OZ-Eligible Tracts, TCJA (2017)","2012-2016 ACS","2010 Decennial",30924,39.235328084295,25.388028799168,45837.5625736353,54.5104751025188,21.0303401971402,18.5525434897877,33.1420990880696,10.8928009916657
"2","OZ Tracts, Currently Designated","2012-2016 ACS","2010 Decennial",7826,9.85215095508995,28.6888562723258,42399.13168137,56.2145891338399,22.3770870737956,17.235227030858,35.9870896326765,11.9667248286412
"3","National (2016)","2012-2016 ACS","2010 Decennial",73058,100,15.1087398628679,70467.9354901715,38.0450659835862,13.0205902483664,30.3150225074383,27.2620820695759,8.18364497070711
"4","OZ-Eligible Tracts, BBB (2025)","2020-2024 ACS","2024",24547,25.9332879631005,25.5559191102759,61673.076635037,60.0651069417558,15.7787861802357,17.3968385765346,28.3604680626052,10.326732724326
"5","National (2024)","2020-2024 ACS","2024",84414,100,12.4552201004992,104126.567885722,42.5980113420864,9.1739256574845,31.5118372719583,20.5057978070987,6.81988835542253
"6","Eligible areas as % of National, TCJA","2012-2016 ACS","2010 Decennial",42.3280133592488,39.235328084295,168.035382365429,65.0474038366407,143.27869775817,161.516028044725,61.1991743870075,121.568481099453,133.104515538685
"7","Eligible areas as % of National, BBB","2020-2024 ACS","2024",29.0792996422394,25.9332879631005,205.182396650315,59.228953654482,141.004486006163,171.996010970099,55.2073128151612,138.30463135059,151.420847177287
