"","GEOID","r_stat"
"246","01125010601","Neither"
"247","01125010804","Neither"
"248","01051030902","Neither"
"249","01117980000","Neither"
"250","01061050600","Neither"
"251","01073014301","Neither"
"252","01073012103","Neither"
"253","01073014104","Neither"
"254","01073010500","Neither"
"255","01073011706","Neither"
"256","01073012701","Neither"
"257","01073012602","Neither"
"258","01073012104","Neither"
"259","01073012403","Neither"
"260","01073012302","Neither"
"261","01073011901","Neither"
"262","01073011210","Neither"
"263","01073011600","Neither"
"264","01073013901","Neither"
"265","01073014105","Neither"
"266","01073001100","Neither"
"267","01073003500","Neither"
"268","01045021300","Neither"
"269","01073005302","Neither"
"270","01089002801","Neither"
"271","01101006000","Neither"
"272","01101000300","Neither"
"273","01101006100","Neither"
"274","01101005102","Neither"
"275","01101005101","Neither"
"276","01101005604","Neither"
"277","01001020600","Neither"
"278","01001020100","Neither"
"279","01001020700","Neither"
"280","01001020400","Neither"
"281","01045021400","Neither"
"282","01081042003","Neither"
"283","01081040901","Neither"
"284","01113030903","Neither"
"285","01113030907","Neither"
"286","01113030602","Neither"
"287","01113030906","Neither"
"288","01113030601","Neither"
"289","01117030337","Neither"
"290","01073010001","Neither"
"291","01073010002","Neither"
"292","01073010302","Neither"
"293","01097004900","Neither"
"294","01097001800","Neither"
"295","01097006403","Neither"
"296","01097001901","Neither"
"297","01097001902","Neither"
"298","01103005109","Neither"
"299","01073011206","Neither"
"300","01073011704","Neither"
"301","01073012001","Neither"
"302","01103005106","Neither"
"303","01073012200","Neither"
"304","01073012500","Neither"
"305","01073013100","Neither"
"306","01073012402","Neither"
"307","01117030336","Neither"
"308","01103005107","Neither"
"309","01089002912","Neither"
"310","01081040602","Neither"
"311","01089010902","Neither"
"312","01115040104","Neither"
"313","01115040105","Neither"
"314","01083020101","Neither"
"315","01117030215","Neither"
"316","01117030407","Neither"
"317","01117030502","Neither"
"318","01117030406","Neither"
"319","01069040900","Neither"
"320","01069040100","Neither"
"321","01069042000","Neither"
"322","01069041600","Neither"
"323","01117030211","Neither"
"324","01117030900","Neither"
"325","01117030408","Neither"
"326","01117030345","Neither"
"327","01117030212","Neither"
"328","01117030216","Neither"
"329","01001020300","Neither"
"330","02170000502","Neither"
"331","02170000601","Neither"
"332","02170000200","Neither"
"333","02170001300","Neither"
"334","02170000604","Neither"
"335","02063000300","Neither"
"336","02122000300","Neither"
"337","02122000200","Neither"
"338","04019004333","Neither"
"339","04015953405","Neither"
"340","04015952801","Neither"
"341","04015953404","Neither"
"342","04015952502","Neither"
"343","04015952501","Neither"
"344","04015950101","Neither"
"345","04015953406","Neither"
"346","04021941402","Neither"
"347","04021002107","Neither"
"348","04021000217","Neither"
